from,to,year,award,weight,category,project
Aaron Sorkin,Golden Globe,2022,Golden Globe,1,writing,Being the Ricardos
Aaron Sorkin,BAFTA,2022,BAFTA,1,writing,Being the Ricardos
Abby Elliott,Golden Globe,2024,Golden Globe,1,acting,The Bear
Adam Brody,Golden Globe,2025,Golden Globe,1,acting,Nobody Wants This
Adam Driver,Golden Globe,2023,Golden Globe,1,acting,White Noise
Adam McKay,Oscar,2022,Oscar,1,writing,Don't Look Up
Adam McKay,Golden Globe,2022,Golden Globe,1,writing,Don't Look Up
Adam McKay,BAFTA,2022,BAFTA,1,writing,Don't Look Up
Adam Scott,Golden Globe,2023,Golden Globe,1,acting,Severance
Adeel Akhtar,BAFTA,2022,BAFTA,1,acting,Ali & Ava
Adrien Brody,Oscar,2025,Oscar,2,acting,The Brutalist
Adrien Brody,Golden Globe,2025,Golden Globe,2,acting,The Brutalist
Adrien Brody,BAFTA,2025,BAFTA,2,acting,The Brutalist
Ala Haim,Golden Globe,2022,Golden Globe,1,acting,Licorice Pizza
Ala Haim,BAFTA,2022,BAFTA,1,acting,Licorice Pizza
Alan Ruck,Golden Globe,2024,Golden Globe,1,acting,Succession
Aleem Khan,BAFTA,2022,BAFTA,1,directing,After Love
Alex David,Oscar,2025,Oscar,1,writing,September 5
Alex Mechanik,Oscar,2024,Oscar,1,writing,May December
Alexander Payne,BAFTA,2024,BAFTA,1,directing,The Holdovers
Alexander Skarsgård,Golden Globe,2024,Golden Globe,1,acting,Succession
Ali Wong,Golden Globe,2024,Golden Globe,2,acting,Beef
Allison Janney,Golden Globe,2025,Golden Globe,1,acting,The Diplomat
Alma Pöysti,Golden Globe,2024,Golden Globe,1,acting,Fallen Leaves
Amanda Seyfried,Golden Globe,2023,Golden Globe,2,acting,The Dropout
America Ferrera,Oscar,2024,Oscar,1,acting,Barbie
Amy Adams,Golden Globe,2025,Golden Globe,1,acting,Nightbitch
An Sawai,Golden Globe,2025,Golden Globe,2,acting,Shogun
Ana de Armas,Oscar,2023,Oscar,1,acting,Blonde
Ana de Armas,Golden Globe,2023,Golden Globe,1,acting,Blonde
Ana de Armas,BAFTA,2023,BAFTA,1,acting,Blonde
Andie MacDowell,Golden Globe,2022,Golden Globe,1,acting,Maid
Andrea Riseborough,Oscar,2023,Oscar,1,acting,To Leslie
Andrew Garfield,Oscar,2022,Oscar,1,acting,"tick, tick...BOOM!"
Andrew Garfield,Golden Globe,2022,Golden Globe,2,acting,"tick, tick...BOOM!"
Andrew Garfield,Golden Globe,2023,Golden Globe,1,acting,Under the Banner of Heaven
Andrew Haigh,BAFTA,2024,BAFTA,1,directing,All of Us Strangers
Andrew Haigh,BAFTA,2024,BAFTA,1,writing,All of Us Strangers
Andrew Scott,Golden Globe,2024,Golden Globe,1,acting,All of Us Strangers
Andrew Scott,Golden Globe,2025,Golden Globe,1,acting,Ripley
Angela Bassett,Oscar,2023,Oscar,1,acting,Black Panther: Wakanda Forever
Angela Bassett,Golden Globe,2023,Golden Globe,2,acting,Black Panther: Wakanda Forever
Angelina Jolie,Golden Globe,2025,Golden Globe,1,acting,Maria
Annette Bening,Oscar,2024,Oscar,1,acting,Nyad
Annette Bening,Golden Globe,2024,Golden Globe,1,acting,Nyad
Anthony Anderson,Golden Globe,2022,Golden Globe,1,acting,Black-ish
Anthony Ramos,Golden Globe,2022,Golden Globe,1,acting,In the Heights
Anya Taylor-Joy,Golden Globe,2023,Golden Globe,1,acting,The Menu
Ariana DeBose,Oscar,2022,Oscar,2,acting,West Side Story (2021)
Ariana DeBose,Golden Globe,2022,Golden Globe,2,acting,West Side Story (2021)
Ariana Grande,Oscar,2025,Oscar,1,acting,Wicked
Ariana Grande,Golden Globe,2025,Golden Globe,1,acting,Wicked
Arthur Harari,Oscar,2024,Oscar,2,writing,Anatomy of a Fall
Arthur Harari,Golden Globe,2024,Golden Globe,2,writing,Anatomy of a Fall
Arthur Harari,BAFTA,2024,BAFTA,2,writing,Anatomy of a Fall
Audrey Diwan,BAFTA,2022,BAFTA,1,directing,Happening
Aunjanue Ellis,Oscar,2022,Oscar,1,acting,King Richard
Aunjanue Ellis,Golden Globe,2022,Golden Globe,1,acting,King Richard
Austin Butler,Oscar,2023,Oscar,1,acting,Elvis
Austin Butler,Golden Globe,2023,Golden Globe,2,acting,Elvis
Austin Butler,BAFTA,2023,BAFTA,2,acting,Elvis
Ayo Edebiri,Golden Globe,2025,Golden Globe,1,acting,The Bear
Ayo Edebiri,Golden Globe,2024,Golden Globe,2,acting,The Bear
Barry Keoghan,Golden Globe,2024,Golden Globe,1,acting,Saltburn
Barry Keoghan,BAFTA,2024,BAFTA,1,acting,Saltburn
Barry Keoghan,Oscar,2023,Oscar,1,acting,The Banshees of Inisherin
Barry Keoghan,Golden Globe,2023,Golden Globe,1,acting,The Banshees of Inisherin
Baz Luhrmann,Golden Globe,2023,Golden Globe,1,directing,Elvis
Bella Ramsey,Golden Globe,2024,Golden Globe,1,acting,The Last of Us
Ben Affleck,Golden Globe,2022,Golden Globe,1,acting,The Tender Bar
Benedict Cumberbatch,Oscar,2022,Oscar,1,acting,The Power of the Dog
Benedict Cumberbatch,Golden Globe,2022,Golden Globe,1,acting,The Power of the Dog
Benedict Cumberbatch,BAFTA,2022,BAFTA,1,acting,The Power of the Dog
Bill Hader,Golden Globe,2024,Golden Globe,1,acting,Barry
Bill Hader,Golden Globe,2023,Golden Globe,1,acting,Barry
Bill Nighy,Oscar,2023,Oscar,1,acting,Living
Bill Nighy,Golden Globe,2023,Golden Globe,1,acting,Living
Bill Nighy,BAFTA,2023,BAFTA,1,acting,Living
Billy Bob Thornton,Golden Globe,2025,Golden Globe,1,acting,Landman
Billy Crudup,Golden Globe,2024,Golden Globe,1,acting,The Morning Show
Billy Crudup,Golden Globe,2022,Golden Globe,1,acting,The Morning Show
Billy Porter,Golden Globe,2022,Golden Globe,1,acting,Pose
Bob Odenkirk,Golden Globe,2023,Golden Globe,1,acting,Better Call Saul
Brad Pitt,Golden Globe,2023,Golden Globe,1,acting,Babylon
Bradley Cooper,Oscar,2024,Oscar,1,acting,Maestro
Bradley Cooper,Golden Globe,2024,Golden Globe,1,acting,Maestro
Bradley Cooper,BAFTA,2024,BAFTA,1,acting,Maestro
Bradley Cooper,Golden Globe,2024,Golden Globe,1,directing,Maestro
Bradley Cooper,BAFTA,2024,BAFTA,1,directing,Maestro
Bradley Cooper,Oscar,2024,Oscar,1,writing,Maestro
Bradley Cooper,BAFTA,2024,BAFTA,1,writing,Maestro
Brady Corbet,Oscar,2025,Oscar,1,directing,The Brutalist
Brady Corbet,Golden Globe,2025,Golden Globe,2,directing,The Brutalist
Brady Corbet,Oscar,2025,Oscar,1,writing,The Brutalist
Brady Corbet,Golden Globe,2025,Golden Globe,1,writing,The Brutalist
Brady Corbet,BAFTA,2025,BAFTA,1,writing,The Brutalist
Brady Corbet,BAFTA,2025,BAFTA,2,directing,The Brutalist
Brendan Fraser,Oscar,2023,Oscar,2,acting,The Whale
Brendan Fraser,Golden Globe,2023,Golden Globe,1,acting,The Whale
Brendan Fraser,BAFTA,2023,BAFTA,1,acting,The Whale
Brendan Gleeson,Oscar,2023,Oscar,1,acting,The Banshees of Inisherin
Brendan Gleeson,Golden Globe,2023,Golden Globe,1,acting,The Banshees of Inisherin
Brett Goldstein,Golden Globe,2022,Golden Globe,1,acting,Ted Lasso
Brian Cox,Golden Globe,2024,Golden Globe,1,acting,Succession
Brian Cox,Golden Globe,2022,Golden Globe,1,acting,Succession
Brian Tyree Henry,Oscar,2023,Oscar,1,acting,Causeway
Brie Larson,Golden Globe,2024,Golden Globe,1,acting,Lessons in Chemistry
Cailee Spaeny,Golden Globe,2024,Golden Globe,1,acting,Priscilla
Caitriona Balfe,Golden Globe,2022,Golden Globe,1,acting,Belfast
Carey Mulligan,Oscar,2024,Oscar,1,acting,Maestro
Carey Mulligan,Golden Globe,2024,Golden Globe,1,acting,Maestro
Carey Mulligan,BAFTA,2024,BAFTA,1,acting,Maestro
Carey Mulligan,Golden Globe,2023,Golden Globe,1,acting,She Said
Cate Blanchett,Golden Globe,2025,Golden Globe,1,acting,Disclaimer
Cate Blanchett,Oscar,2023,Oscar,1,acting,TÁR
Cate Blanchett,Golden Globe,2023,Golden Globe,2,acting,TÁR
Cate Blanchett,BAFTA,2023,BAFTA,2,acting,TÁR
Celine Song,Golden Globe,2024,Golden Globe,1,directing,Past Lives
Celine Song,Oscar,2024,Oscar,1,writing,Past Lives
Celine Song,Golden Globe,2024,Golden Globe,1,writing,Past Lives
Celine Song,BAFTA,2024,BAFTA,1,writing,Past Lives
Charles Melton,Golden Globe,2024,Golden Globe,1,acting,May December
Christina Ricci,Golden Globe,2024,Golden Globe,1,acting,Yellowjackets
Christine Baranski,Golden Globe,2022,Golden Globe,1,acting,The Good Fight
Christopher McQuarrie,Oscar,2023,Oscar,1,writing,Top Gun: Maverick
Christopher Nolan,Oscar,2024,Oscar,2,directing,Oppenheimer
Christopher Nolan,Golden Globe,2024,Golden Globe,2,directing,Oppenheimer
Christopher Nolan,BAFTA,2024,BAFTA,2,directing,Oppenheimer
Christopher Nolan,Oscar,2024,Oscar,1,writing,Oppenheimer
Christopher Nolan,Golden Globe,2024,Golden Globe,1,writing,Oppenheimer
Christopher Nolan,BAFTA,2024,BAFTA,1,writing,Oppenheimer
Ciarán Hinds,Oscar,2022,Oscar,1,acting,Belfast
Ciarán Hinds,Golden Globe,2022,Golden Globe,1,acting,Belfast
Cillian Murphy,Oscar,2024,Oscar,2,acting,Oppenheimer
Cillian Murphy,Golden Globe,2024,Golden Globe,2,acting,Oppenheimer
Cillian Murphy,BAFTA,2024,BAFTA,2,acting,Oppenheimer
Clarence Maclin,Oscar,2025,Oscar,1,writing,Sing Sing
Clarence Maclin,BAFTA,2025,BAFTA,1,writing,Sing Sing
Clint Bentley,Oscar,2025,Oscar,1,writing,Sing Sing
Clint Bentley,BAFTA,2025,BAFTA,1,writing,Sing Sing
Colin Farrell,Oscar,2023,Oscar,1,acting,The Banshees of Inisherin
Colin Farrell,Golden Globe,2023,Golden Globe,2,acting,The Banshees of Inisherin
Colin Farrell,BAFTA,2023,BAFTA,1,acting,The Banshees of Inisherin
Colin Farrell,Golden Globe,2025,Golden Globe,2,acting,The Penguin
Colin Firth,Golden Globe,2023,Golden Globe,1,acting,The Staircase
Colm Bairéad,BAFTA,2023,BAFTA,1,writing,The Quiet Girl
Colman Domingo,Oscar,2024,Oscar,1,acting,Rustin
Colman Domingo,Golden Globe,2024,Golden Globe,1,acting,Rustin
Colman Domingo,BAFTA,2024,BAFTA,1,acting,Rustin
Colman Domingo,Oscar,2025,Oscar,1,acting,Sing Sing
Colman Domingo,Golden Globe,2025,Golden Globe,1,acting,Sing Sing
Colman Domingo,BAFTA,2025,BAFTA,1,acting,Sing Sing
Cooper Hoffman,Golden Globe,2022,Golden Globe,1,acting,Licorice Pizza
Cooper Koch,Golden Globe,2025,Golden Globe,1,acting,Monsters: The Lyle and Erik Menendez Story
Coralie Fargeat,Oscar,2025,Oscar,1,directing,The Substance
Coralie Fargeat,Golden Globe,2025,Golden Globe,1,directing,The Substance
Coralie Fargeat,BAFTA,2025,BAFTA,1,directing,The Substance
Coralie Fargeat,Oscar,2025,Oscar,1,writing,The Substance
Coralie Fargeat,Golden Globe,2025,Golden Globe,1,writing,The Substance
Coralie Fargeat,BAFTA,2025,BAFTA,1,writing,The Substance
Cord Jefferson,Oscar,2024,Oscar,2,writing,American Fiction
Cord Jefferson,BAFTA,2024,BAFTA,2,writing,American Fiction
Cristin Milioti,Golden Globe,2025,Golden Globe,1,acting,The Penguin
Cynthia Erivo,Golden Globe,2022,Golden Globe,1,acting,Genius: Aretha
Cynthia Erivo,Oscar,2025,Oscar,1,acting,Wicked
Cynthia Erivo,Golden Globe,2025,Golden Globe,1,acting,Wicked
Cynthia Erivo,BAFTA,2025,BAFTA,1,acting,Wicked
Da'Vine Joy Randolph,Oscar,2024,Oscar,2,acting,The Holdovers
Da'Vine Joy Randolph,Golden Globe,2024,Golden Globe,2,acting,The Holdovers
Daisy Edgar-Jones,Golden Globe,2023,Golden Globe,1,acting,Under the Banner of Heaven
Dakota Fanning,Golden Globe,2025,Golden Globe,1,acting,Ripley
Daniel Craig,Golden Globe,2023,Golden Globe,1,acting,Glass Onion: A Knives Out Mystery
Daniel Craig,Golden Globe,2025,Golden Globe,1,acting,Queer
Daniel Kwan,Oscar,2023,Oscar,2,directing,Everything Everywhere All at Once
Daniel Kwan,Golden Globe,2023,Golden Globe,1,directing,Everything Everywhere All at Once
Daniel Kwan,BAFTA,2023,BAFTA,1,directing,Everything Everywhere All at Once
Daniel Kwan,Oscar,2023,Oscar,2,writing,Everything Everywhere All at Once
Daniel Kwan,Golden Globe,2023,Golden Globe,1,writing,Everything Everywhere All at Once
Daniel Kwan,BAFTA,2023,BAFTA,1,writing,Everything Everywhere All at Once
Daniel Scheinert,Oscar,2023,Oscar,2,directing,Everything Everywhere All at Once
Daniel Scheinert,Golden Globe,2023,Golden Globe,1,directing,Everything Everywhere All at Once
Daniel Scheinert,BAFTA,2023,BAFTA,1,directing,Everything Everywhere All at Once
Daniel Scheinert,Oscar,2023,Oscar,2,writing,Everything Everywhere All at Once
Daniel Scheinert,Golden Globe,2023,Golden Globe,1,writing,Everything Everywhere All at Once
Daniel Scheinert,BAFTA,2023,BAFTA,1,writing,Everything Everywhere All at Once
Danielle Brooks,Oscar,2024,Oscar,1,acting,The Color Purple (2023)
Danielle Brooks,Golden Globe,2024,Golden Globe,1,acting,The Color Purple (2023)
Danielle Deadwyler,BAFTA,2023,BAFTA,1,acting,Till
Daryl McCormack,BAFTA,2023,BAFTA,1,acting,"Good Luck to You, Leo Grande"
David Hemingson,Oscar,2024,Oscar,1,writing,The Holdovers
David Hemingson,BAFTA,2024,BAFTA,1,writing,The Holdovers
David Oyelowo,Golden Globe,2024,Golden Globe,1,acting,Lawmen: Bass Reeves
David Sirota,Oscar,2022,Oscar,1,writing,Don't Look Up
Demi Moore,Oscar,2025,Oscar,1,acting,The Substance
Demi Moore,Golden Globe,2025,Golden Globe,2,acting,The Substance
Demi Moore,BAFTA,2025,BAFTA,1,acting,The Substance
Denis Villeneuve,Golden Globe,2022,Golden Globe,1,directing,Dune
Denis Villeneuve,Oscar,2022,Oscar,1,writing,Dune
Denis Villeneuve,BAFTA,2022,BAFTA,1,writing,Dune
Denis Villeneuve,BAFTA,2025,BAFTA,1,directing,Dune: Part Two
Denzel Washington,Golden Globe,2025,Golden Globe,1,acting,Gladiator II
Denzel Washington,Oscar,2022,Oscar,2,acting,The Tragedy of Macbeth
Denzel Washington,Golden Globe,2022,Golden Globe,1,acting,The Tragedy of Macbeth
Diego Calva,Golden Globe,2023,Golden Globe,1,acting,Babylon
Diego Luna,Golden Globe,2023,Golden Globe,1,acting,Andor
Diego Luna,Golden Globe,2025,Golden Globe,1,acting,La Máquina
Dolly de Leon,Golden Globe,2023,Golden Globe,1,acting,Triangle of Sadness
Domhnall Gleeson,Golden Globe,2023,Golden Globe,1,acting,The Patient
Dominic West,Golden Globe,2024,Golden Globe,1,acting,The Crown
Donald Glover,Golden Globe,2023,Golden Globe,1,acting,Atlanta
Donald Glover,Golden Globe,2025,Golden Globe,1,acting,Mr. & Mrs. Smith
Ebon Moss–Bachrach,Golden Globe,2025,Golden Globe,1,acting,The Bear
Ebon Moss–Bachrach,Golden Globe,2024,Golden Globe,1,acting,The Bear
Eddie Redmayne,Golden Globe,2025,Golden Globe,1,acting,The Day of the Jackal
Eddie Redmayne,Golden Globe,2023,Golden Globe,1,acting,The Good Nurse
Edward Berger,BAFTA,2023,BAFTA,2,directing,All Quiet on the Western Front
Edward Berger,Oscar,2023,Oscar,1,writing,All Quiet on the Western Front
Edward Berger,BAFTA,2023,BAFTA,2,writing,All Quiet on the Western Front
Edward Berger,Golden Globe,2025,Golden Globe,1,directing,Conclave
Edward Berger,BAFTA,2025,BAFTA,1,directing,Conclave
Edward Norton,Oscar,2025,Oscar,1,acting,A Complete Unknown
Edward Norton,Golden Globe,2025,Golden Globe,1,acting,A Complete Unknown
Ehren Kruger ,Oscar,2023,Oscar,1,writing,Top Gun: Maverick
Elisabeth Moss,Golden Globe,2022,Golden Globe,1,acting,The Handmaid's Tale
Elizabeth Debicki,Golden Globe,2024,Golden Globe,2,acting,The Crown
Elizabeth Debicki,Golden Globe,2023,Golden Globe,1,acting,The Crown
Elizabeth Olsen,Golden Globe,2024,Golden Globe,1,acting,Love & Death
Elizabeth Olsen,Golden Globe,2022,Golden Globe,1,acting,WandaVision
Elle Fanning,Golden Globe,2024,Golden Globe,1,acting,The Great
Elle Fanning,Golden Globe,2022,Golden Globe,1,acting,The Great
Emilia Jones,BAFTA,2022,BAFTA,1,acting,CODA
Emily Blunt,Oscar,2024,Oscar,1,acting,Oppenheimer
Emily Blunt,Golden Globe,2024,Golden Globe,1,acting,Oppenheimer
Emma D’Arcy,Golden Globe,2025,Golden Globe,1,acting,House of the Dragon
Emma D’Arcy,Golden Globe,2023,Golden Globe,1,acting,House of the Dragon
Emma Stone,Golden Globe,2022,Golden Globe,1,acting,Cruella
Emma Stone,Oscar,2024,Oscar,2,acting,Poor Things
Emma Stone,Golden Globe,2024,Golden Globe,2,acting,Poor Things
Emma Stone,BAFTA,2024,BAFTA,2,acting,Poor Things
Emma Thompson,Golden Globe,2023,Golden Globe,1,acting,"Good Luck to You, Leo Grande"
Emma Thompson,BAFTA,2023,BAFTA,1,acting,"Good Luck to You, Leo Grande"
Eric Roth,Oscar,2022,Oscar,1,writing,Dune
Eric Roth,BAFTA,2022,BAFTA,1,writing,Dune
Eric Roth,Golden Globe,2024,Golden Globe,1,writing,Killers of the Flower Moon
Eric Warren Singer,Oscar,2023,Oscar,1,writing,Top Gun: Maverick
Eskil Vogt,Oscar,2022,Oscar,1,writing,The Worst Person in the World
Evan Peters,Golden Globe,2023,Golden Globe,2,acting,Dahmer - Monster: The Jeffrey Dahmer Story
Ewan McGregor,Golden Globe,2025,Golden Globe,1,acting,A Gentleman in Moscow
Ewan McGregor,Golden Globe,2022,Golden Globe,1,acting,Halston
F. Murray Abraham,Golden Globe,2023,Golden Globe,1,acting,The White Lotus
Fantasia Barrino,BAFTA,2024,BAFTA,1,acting,The Color Purple (2023)
Fantasia Barrino,Golden Globe,2024,Golden Globe,1,acting,The Color Purple (2023)
Felicity Jones,Oscar,2025,Oscar,1,acting,The Brutalist
Felicity Jones,Golden Globe,2025,Golden Globe,1,acting,The Brutalist
Fernanda Torres,Oscar,2025,Oscar,1,acting,I'm Still Here
Fernanda Torres,Golden Globe,2025,Golden Globe,2,acting,I'm Still Here
Gabriel LaBelle,Golden Globe,2025,Golden Globe,1,acting,Saturday Night
Gary Oldman,Golden Globe,2025,Golden Globe,1,acting,Slow Horses
Gary Oldman,Golden Globe,2024,Golden Globe,1,acting,Slow Horses
Gi Prince-Bythewood,BAFTA,2023,BAFTA,1,directing,The Woman King
Glen Powell,Golden Globe,2025,Golden Globe,1,acting,Hit Man
Greg Kwedar,Oscar,2025,Oscar,1,writing,Sing Sing
Greg Kwedar,BAFTA,2025,BAFTA,1,writing,Sing Sing
Greta Gerwig,Golden Globe,2024,Golden Globe,1,directing,Barbie
Greta Gerwig,Oscar,2024,Oscar,1,writing,Barbie
Greta Gerwig,Golden Globe,2024,Golden Globe,1,writing,Barbie
Greta Gerwig,BAFTA,2024,BAFTA,1,writing,Barbie
Greta Lee,Golden Globe,2024,Golden Globe,1,acting,Past Lives
Guy Pearce,Oscar,2025,Oscar,1,acting,The Brutalist
Guy Pearce,Golden Globe,2025,Golden Globe,1,acting,The Brutalist
Hannah Einbinder,Golden Globe,2025,Golden Globe,1,acting,Hacks
Hannah Einbinder,Golden Globe,2023,Golden Globe,1,acting,Hacks
Hannah Einbinder,Golden Globe,2022,Golden Globe,1,acting,Hacks
Hannah Waddingham,Golden Globe,2024,Golden Globe,1,acting,Ted Lasso
Hannah Waddingham,Golden Globe,2022,Golden Globe,1,acting,Ted Lasso
Harrison Ford,Golden Globe,2025,Golden Globe,1,acting,Shrinking
Helen Mirren,Golden Globe,2024,Golden Globe,1,acting,1923
Henry Winkler,Golden Globe,2023,Golden Globe,1,acting,Barry
Hilary Swank,Golden Globe,2023,Golden Globe,1,acting,Alaska Daily
Hiroyuki Sanada,Golden Globe,2025,Golden Globe,2,acting,Shogun
Hong Chau,Oscar,2023,Oscar,1,acting,The Whale
Hugh Grant,Golden Globe,2025,Golden Globe,1,acting,Heretic
Hugh Grant,BAFTA,2025,BAFTA,1,acting,Heretic
Hugh Jackman,Golden Globe,2023,Golden Globe,1,acting,The Son
Ian Stokell,Oscar,2023,Oscar,1,writing,All Quiet on the Western Front
Ian Stokell,BAFTA,2023,BAFTA,2,writing,All Quiet on the Western Front
Imelda Staunton,Golden Globe,2024,Golden Globe,2,acting,The Crown
Imelda Staunton,Golden Globe,2023,Golden Globe,1,acting,The Crown
Isabella Rossellini,Oscar,2025,Oscar,1,acting,Conclave
Isabella Rossellini,Golden Globe,2025,Golden Globe,1,acting,Conclave
Issa Rae,Golden Globe,2022,Golden Globe,1,acting,Insecure
J. Smith-Cameron,Golden Globe,2024,Golden Globe,1,acting,Succession
J.J. Ó Dochartaigh,BAFTA,2025,BAFTA,1,writing,Kneecap
J.K. Simmons,Oscar,2022,Oscar,1,acting,Being the Ricardos
Jack Lowden,Golden Globe,2025,Golden Globe,1,acting,Slow Horses
Jacques Audiard,Oscar,2025,Oscar,1,directing,Emilia Pérez
Jacques Audiard,Golden Globe,2025,Golden Globe,1,directing,Emilia Pérez
Jacques Audiard,BAFTA,2025,BAFTA,1,directing,Emilia Pérez
Jacques Audiard,Oscar,2025,Oscar,1,writing,Emilia Pérez
Jacques Audiard,Golden Globe,2025,Golden Globe,1,writing,Emilia Pérez
Jacques Audiard,BAFTA,2025,BAFTA,1,writing,Emilia Pérez
Jake Gyllenhaal,Golden Globe,2025,Golden Globe,1,acting,Presumed Innocent
James Cameron,Golden Globe,2023,Golden Globe,1,directing,Avatar: The Way of Water
James Mangold,Oscar,2025,Oscar,1,directing,A Complete Unknown
James Mangold,Oscar,2025,Oscar,1,writing,A Complete Unknown
James Mangold,BAFTA,2025,BAFTA,1,writing,A Complete Unknown
James Marsden,Golden Globe,2024,Golden Globe,1,acting,Jury Duty
Jamie Dorn,Golden Globe,2022,Golden Globe,1,acting,Belfast
Jamie Lee Curtis,Oscar,2023,Oscar,2,acting,Everything Everywhere All at Once
Jamie Lee Curtis,Golden Globe,2023,Golden Globe,1,acting,Everything Everywhere All at Once
Jane Campion,Oscar,2022,Oscar,2,directing,The Power of the Dog
Jane Campion,Golden Globe,2022,Golden Globe,2,directing,The Power of the Dog
Jane Campion,BAFTA,2022,BAFTA,2,directing,The Power of the Dog
Jane Campion,Oscar,2022,Oscar,1,writing,The Power of the Dog
Jane Campion,Golden Globe,2022,Golden Globe,1,writing,The Power of the Dog
Jane Campion,BAFTA,2022,BAFTA,1,writing,The Power of the Dog
Janelle James,Golden Globe,2023,Golden Globe,1,acting,Abbott Elementary
Jason Segel,Golden Globe,2025,Golden Globe,1,acting,Shrinking
Jason Segel,Golden Globe,2024,Golden Globe,1,acting,Shrinking
Jason Sudeikis,Golden Globe,2024,Golden Globe,1,acting,Ted Lasso
Jason Sudeikis,Golden Globe,2022,Golden Globe,2,acting,Ted Lasso
Javier Bardem,Oscar,2022,Oscar,1,acting,Being the Ricardos
Javier Bardem,Golden Globe,2022,Golden Globe,1,acting,Being the Ricardos
Javier Bardem,Golden Globe,2025,Golden Globe,1,acting,Monsters: The Lyle and Erik Menendez Story
Jay Cocks,Oscar,2025,Oscar,1,writing,A Complete Unknown
Jay Cocks,BAFTA,2025,BAFTA,1,writing,A Complete Unknown
Jean Smart,Golden Globe,2025,Golden Globe,2,acting,Hacks
Jean Smart,Golden Globe,2023,Golden Globe,1,acting,Hacks
Jean Smart,Golden Globe,2022,Golden Globe,2,acting,Hacks
Jeff Bridges,Golden Globe,2023,Golden Globe,1,acting,The Old Man
Jeffrey Wright,Oscar,2024,Oscar,1,acting,American Fiction
Jeffrey Wright,Golden Globe,2024,Golden Globe,1,acting,American Fiction
Jenna Ortega,Golden Globe,2023,Golden Globe,1,acting,Wednesday
